           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
00:51:38 6.7e-09   12 90030   16   3  27 --- ---  65 240  70 126 1.033  25 1900
01:01:42 6.5e-09   12 90030   16   2  27 --- ---  65 240  70 127 1.033  23 1799
01:11:46 6.6e-09   11 90029   16   2  27 --- ---  65 240  70 126 1.033  23 1793
01:21:50 6.5e-09   12 90030   16   2  27 --- ---  65 240  70 124 1.034  23 1779
01:31:53 6.5e-09   12 90029   16   2  27 --- ---  65 240  70 126 1.033  23 1779
01:41:57 6.5e-09   12 90029   16   2  27 --- ---  65 240  70 126 1.033  23 1780
01:52:01 6.6e-09   12 90030   16   2  27 --- ---  65 240  70 126 1.034  23 1775
02:02:05 6.7e-09   12 90030   16   2  27 --- ---  65 240  70 126 1.033  24 1794
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
02:12:09 6.7e-09   12 90030   16   3  27 --- ---  65 240  70 124 1.033  24 1853
02:22:12 6.8e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.033  23 1780
02:32:16 6.7e-09   11 90030   16   2  27 --- ---  65 240  70 124 1.033  23 1793
02:42:20 6.7e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.033  23 1799
02:52:24 6.7e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.033  23 1800
03:02:27 6.6e-09   12 90029   16   2  27 --- ---  65 240  70 125 1.034  23 1790
03:12:31 6.4e-09   12 90029   16   2  27 --- ---  65 240  70 124 1.032  23 1799
03:22:35 6.3e-09   12 90030   16   2  27 --- ---  65 240  70 126 1.034  23 1798
03:32:39 6.3e-09   11 90029   16   2  27 --- ---  65 240  70 124 1.034  23 1789
03:42:42 6.2e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.033  23 1791
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
03:52:46 6.2e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.034  23 1794
04:02:50 6.1e-09   12 90029   16   2  27 --- ---  65 240  70 124 1.033  23 1785
04:12:54 6.2e-09   12 90030   16   2  27 --- ---  65 240  70 125 1.034  23 1794
04:22:57 6.2e-09   12 90029   16   2  26 --- ---  65 240  70 124 1.034  23 1798
04:33:01 6.2e-09   12 90030   16   2  26 --- ---  65 240  70 125 1.034  23 1793
04:43:05 6.1e-09   12 90029   16   2  26 --- ---  65 240  70 124 1.034  23 1794
04:53:09 6.3e-09   12 90029   16   2  26 --- ---  65 240  70 124 1.033  23 1798
05:03:13 6.0e-09   12 90029   16   2  26 --- ---  65 240  70 123 1.034  23 1799
05:13:16 6.1e-09   12 90029   16   2  26 --- ---  65 240  70 123 1.033  23 1798
05:23:20 5.9e-09   12 90030   16   2  26 --- ---  65 240  70 123 1.034  23 1798
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
05:33:24 5.9e-09   12 90029   15   2  26 --- ---  65 240  70 125 1.034  23 1779
05:43:28 5.9e-09   12 90029   15   2  26 --- ---  65 240  70 123 1.034  23 1779
05:53:31 5.9e-09   12 90029   16   2  26 --- ---  65 240  70 124 1.034  23 1779
06:03:35 6.0e-09   12 90029   15   2  26 --- ---  65 240  70 123 1.033  23 1771
06:13:39 6.0e-09   12 90030   15   2  26 --- ---  65 240  70 122 1.034  23 1775
06:23:44 5.8e-09   12 90029   15   2  26 --- ---  65 240  70 123 1.033  23 1774
06:33:48 6.0e-09   11 90030   15   2  26 --- ---  65 240  70 122 1.034  23 1765
06:43:52 5.9e-09   12 90029   15   2  26 --- ---  65 240  70 123 1.033  23 1775
06:53:56 6.1e-09   12 90029   15   2  26 --- ---  65 240  70 124 1.033  23 1776
07:04:00 6.5e-09   12 90029   16   2  26 --- ---  65 240  70 124 1.034  23 1775
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
07:14:04 6.6e-09   12 90029   16   2  27 --- ---  65 240  70 122 1.034  23 1776
07:24:07 6.6e-09   12 90030   16   2  27 --- ---  65 240  70 123 1.033  23 1771
07:34:11 6.6e-09   12 90029   16   2  27 --- ---  65 240  70 124 1.033  23 1779
07:44:15 6.6e-09   11 90029   16   2  27 --- ---  65 240  70 125 1.033  23 1779
07:54:19 6.7e-09   11 90030   16   2  27 --- ---  65 240  70 127 1.033  24 1794
08:04:24 6.7e-09   11 90029   16   2  27 --- ---  65 240  70 127 1.033  23 1790
08:14:27 6.9e-09   12 90029   16   2  27 --- ---  65 240  70 124 1.033  24 1804
08:24:31 7.2e-09   12 90030   16   3  27 --- ---  65 240  70 125 1.033  25 1863
08:34:35 7.4e-09   12 90030   16   3  27 --- ---  65 240  70 126 1.033  25 1884
08:44:39 7.7e-09   12 90029   16   3  27 --- ---  65 240  70 127 1.034  25 1884
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
08:54:42 8.0e-09   12 90029   16   3  27 --- ---  65 240  70 128 1.033  25 1884
09:04:46 8.2e-09   12 90029   17   3  28 --- ---  65 240  70 128 1.033  25 1884
09:14:50 8.5e-09   12 90030   17   3  28 --- ---  65 240  70 128 1.033  26 1939
09:24:54 8.9e-09   12 90029   17   4  28 --- ---  65 240  70 129 1.033  26 2003
09:34:58 9.0e-09   12 90030   17   4  28 --- ---  65 240  70 131 1.032  26 1927
09:45:02 ------- ---- 90030   17   4  28 --- ---  65 240  70 131 1.033  27 2008
09:55:08 9.4e-09   12 90030   17   4  28 --- ---  65 240  70 132 1.033  27 2007
10:05:12 1.0e-08   12 90029   17   4  28 --- ---  65 240  70 132 1.032  27 1998
10:15:16 1.0e-08   12 90030   18   4  28 --- ---  65 240  70 134 1.032  27 2009
10:25:20 1.1e-08   12 90030   18   5  29 --- ---  65 240  70 134 1.032  28 2086
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
10:35:25 1.1e-08   12 90029   18   5  29 --- ---  65 240  70 136 1.032  28 2091
10:45:28 1.2e-08   12 90029   18   5  29 --- ---  65 240  70 135 1.032  28 2091
10:55:32 1.2e-08   12 90030   18   5  29 --- ---  65 240  70 138 1.032  28 2090
11:05:36 1.3e-08   12 90029   18   5  29 --- ---  65 240  70 138 1.032  28 2090
11:15:40 1.2e-08   12 90029   18   5  29 --- ---  65 240  70 138 1.032  28 2079
11:25:44 1.2e-08   12 90029   18   5  29 --- ---  65 240  70 139 1.032  28 2088
11:35:48 1.3e-08   12 90029   18   5  29 --- ---  65 240  70 140 1.032  28 2088
11:45:52 1.3e-08   12 90030   18   5  30 --- ---  65 240  70 139 1.032  28 2091
11:55:56 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 139 1.032  28 2087
12:05:59 1.4e-08   12 90030   19   5  30 --- ---  65 240  70 140 1.032  28 2087
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
12:16:03 1.4e-08   12 90029   19   6  30 --- ---  65 240  70 141 1.032  30 2228
12:26:07 1.4e-08   12 90030   19   6  30 --- ---  65 240  70 142 1.031  30 2228
12:36:11 1.5e-08   12 90029   19   6  30 --- ---  65 240  70 143 1.032  30 2225
12:46:15 1.5e-08   12 90029   19   6  31 --- ---  65 240  70 143 1.031  30 2228
12:56:19 1.6e-08   12 90029   19   6  31 --- ---  65 240  70 146 1.031  30 2222
13:06:24 1.8e-08   12 90030   20   7  31 --- ---  65 240  70 149 1.031  32 2362
13:17:02 1.9e-08   12 90029   20   7  32 --- ---  65 240  70 148 1.031  33 2418
13:27:06 2.0e-08   12 90030   21   8  32 --- ---  65 240  70 150 1.031  34 2494
13:37:13 ------- ----    12 9003  21   8  32 --- --- ---  65 --- 1.031  34 2496
13:47:22 2.1e-08   12 90030   21   8  32 --- ---  65 240  70 148 1.031  34 2498
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
13:57:25 2.1e-08   12 90030   21   8  32 --- ---  65 240  70 151 1.031  34 2494
14:07:29 2.2e-08   12 90029   21   9  32 --- ---  65 240  70 157 1.031  35 2551
14:17:33 2.6e-08   12 90029   22   9  33 --- ---  65 240  70 158 1.031  35 2586
14:27:37 2.7e-08   12 90029   22  10  33 --- ---  65 240  70 158 1.031  37 2700
14:37:41 2.8e-08   12 90029   22   9  33 --- ---  65 240  70 156 1.031  35 2591
14:47:45 2.6e-08   12 90030   22   9  33 --- ---  65 240  70 157 1.031  35 2576
14:57:48 2.6e-08   12 90029   22   9  33 --- ---  65 240  70 156 1.031  35 2582
15:07:53 2.5e-08   12 90029   22   8  33 --- ---  65 240  70 155 1.031  34 2542
15:17:56 2.4e-08   12 90030   22   8  32 --- ---  65 240  70 155 1.031  34 2544
15:28:00 2.2e-08   12 90029   21   8  32 --- ---  65 240  70 154 1.032  34 2540
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
15:38:04 2.2e-08   11 90030   21   8  32 --- ---  65 240  70 150 1.032  34 2540
15:48:08 2.0e-08   11 90030   21   7  32 --- ---  65 240  70 149 1.031  32 2413
15:58:11 1.9e-08   12 90030   21   7  32 --- ---  65 240  70 149 1.031  32 2398
16:08:15 1.9e-08   12 90030   21   8  31 --- ---  65 240  70 148 1.032  34 2494
16:18:19 1.9e-08   12 90030   21   8  31 --- ---  65 240  70 148 1.031  34 2496
16:28:24 1.8e-08   12 90030   21   7  31 --- ---  65 240  70 147 1.031  32 2394
16:38:28 1.8e-08   12 90029   21   7  31 --- ---  65 240  70 147 1.031  32 2396
16:48:31 1.7e-08   11 90029   20   7  31 --- ---  65 240  70 145 1.031  32 2390
16:58:35 1.6e-08   12 90030   20   7  31 --- ---  65 240  70 145 1.032  31 2326
17:08:39 1.6e-08   11 90029   20   6  31 --- ---  65 240  70 143 1.032  30 2264
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
17:18:43 1.5e-08   12 90029   20   6  30 --- ---  65 240  70 144 1.031  30 2262
17:28:46 1.4e-08   12 90029   19   6  30 --- ---  65 240  70 142 1.031  30 2257
17:38:50 1.4e-08   12 90029   19   6  30 --- ---  65 240  70 140 1.032  30 2261
17:48:54 1.4e-08   12 90030   19   6  30 --- ---  65 240  70 141 1.031  30 2261
17:58:58 1.3e-08   12 90030   19   6  30 --- ---  65 240  70 139 1.032  30 2269
18:09:01 1.3e-08   12 90029   19   6  30 --- ---  65 240  70 140 1.032  30 2266
18:19:05 1.3e-08   12 90029   19   6  29 --- ---  65 240  70 140 1.032  30 2266
18:29:09 1.3e-08   12 90030   19   6  29 --- ---  65 240  70 139 1.032  30 2254
18:39:13 1.3e-08   12 90029   19   6  30 --- ---  65 240  70 138 1.031  30 2261
18:49:17 1.3e-08   12 90030   19   6  30 --- ---  65 240  70 138 1.032  30 2254
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
18:59:21 1.3e-08   12 90030   19   6  30 --- ---  65 240  70 137 1.032  30 2272
19:09:25 1.3e-08   12 90029   19   6  29 --- ---  65 240  70 140 1.032  30 2259
19:19:29 1.3e-08   12 90029   19   6  29 --- ---  65 240  70 138 1.032  30 2261
19:29:33 1.3e-08   12 90029   19   6  29 --- ---  65 240  70 139 1.032  30 2264
19:39:38 1.3e-08   12 90030   19   6  29 --- ---  65 240  70 139 1.032  30 2267
19:49:42 1.3e-08   12 90030   19   5  29 --- ---  65 240  70 138 1.033  29 2188
19:59:46 1.3e-08   12 90029   19   6  30 --- ---  65 240  70 138 1.032  30 2214
20:09:50 1.2e-08   12 90030   19   6  29 --- ---  65 240  70 137 1.031  30 2199
20:19:54 1.2e-08   12 90029   19   6  29 --- ---  65 240  70 138 1.032  30 2199
20:29:58 1.2e-08   12 90030   19   5  29 --- ---  65 240  70 138 1.032  29 2205
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
20:40:03 1.2e-08   12 90029   19   5  29 --- ---  65 240  70 137 1.032  29 2200
20:50:08 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  28 2128
21:00:13 1.2e-08   11 90030   19   5  30 --- ---  65 240  70 137 1.032  28 2120
21:10:17 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 136 1.032  28 2125
21:20:21 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 136 1.032  28 2128
21:30:27 1.2e-08   12 90030   19   5  29 --- ---  65 240  70 136 1.032  28 2124
21:40:31 1.1e-08   12 90029   19   5  29 --- ---  65 240  70 137 1.032  28 2122
21:50:35 1.1e-08   12 90029   18   5  29 --- ---  65 240  70 136 1.032  28 2117
22:00:39 1.1e-08   12 90030   18   5  29 --- ---  65 240  70 135 1.032  28 2128
22:10:43 1.1e-08   12 90030   18   4  29 --- ---  65 240  70 135 1.032  27 2046
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
22:20:47 1.1e-08   12 90030   18   4  29 --- ---  65 240  70 135 1.032  27 2045
22:30:51 1.1e-08   12 90029   18   5  29 --- ---  65 240  70 136 1.032  28 2065
22:40:57 1.1e-08   12 90029   18   5  29 --- ---  65 240  70 134 1.032  28 2069
22:51:01 1.1e-08   12 90030   18   5  29 --- ---  65 240  70 135 1.032  28 2070
23:01:07 1.1e-08   12 90030   19   5  29 --- ---  65 240  70 136 1.032  28 2068
23:11:10 1.2e-08   12 90030   19   5  29 --- ---  65 240  70 134 1.032  28 2070
23:21:14 1.2e-08   12 90029   19   5  29 --- ---  65 240  70 136 1.032  28 2072
23:31:18 1.2e-08   12 90029   19   5  29 --- ---  65 240  70 136 1.032  28 2070
23:41:22 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 136 1.032  28 2070
23:51:25 1.2e-08   12 90029   19   5  29 --- ---  65 240  70 135 1.032  28 2090
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
00:01:32 ------- ---- -----   19   5  29 --- ---  65 240  70 137 1.032  28 2077
00:11:40 1.2e-08   12 90029   19   5  29 --- ---  65 240  70 136 1.032  28 2087
00:21:44 1.1e-08   12 90029   18   5  29 --- ---  65 240  70 135 1.032  28 2086
00:31:47 1.1e-08   12 90029   18   5  29 --- ---  65 240  70 136 1.032  28 2083
00:41:51 1.1e-08   12 90030   18   5  29 --- ---  65 240  70 136 1.032  28 2081
00:51:55 1.2e-08   12 90029   19   5  29 --- ---  65 240  70 136 1.032  28 2090
01:01:59 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  28 2084
01:12:03 1.2e-08   12 90030   19   5  30 --- ---  65 240  70 136 1.032  28 2088
01:22:06 1.2e-08   12 90030   19   5  30 --- ---  65 240  70 138 1.032  28 2084
01:32:10 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 136 1.032  28 2088
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
01:42:14 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 137 1.032  29 2144
01:52:18 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 138 1.033  28 2125
02:02:21 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 138 1.032  28 2125
02:12:25 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 137 1.032  28 2122
02:22:29 1.2e-08   12 90030   19   5  29 --- ---  65 240  70 137 1.032  28 2128
02:32:33 1.3e-08   12 90029   19   5  29 --- ---  65 240  70 137 1.032  28 2124
02:42:37 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 137 1.032  28 2124
02:52:40 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 138 1.032  29 2150
03:02:44 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 137 1.032  28 2124
03:12:48 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 137 1.032  28 2124
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
03:22:52 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 138 1.032  28 2130
03:32:55 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 137 1.031  28 2130
03:42:59 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 139 1.032  29 2149
03:53:03 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  28 2125
04:03:07 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 136 1.032  28 2133
04:13:11 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 137 1.032  28 2124
04:23:14 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 137 1.032  28 2124
04:33:18 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  28 2130
04:43:22 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 137 1.032  28 2124
04:53:26 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 136 1.032  28 2125
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
05:03:29 1.3e-08   12 90029   19   5  29 --- ---  65 240  70 139 1.032  28 2128
05:13:33 1.3e-08   12 90030   19   5  30 --- ---  65 240  70 138 1.032  28 2124
05:23:37 1.3e-08   12 90029   19   5  29 --- ---  65 240  70 138 1.032  28 2125
05:33:41 1.3e-08   12 90029   19   5  29 --- ---  65 240  70 138 1.032  28 2125
05:43:44 1.2e-08   12 90030   19   5  29 --- ---  65 240  70 136 1.032  28 2128
05:53:48 1.3e-08   12 90030   19   5  29 --- ---  65 240  70 137 1.032  28 2128
06:03:53 1.2e-08   12 90030   19   5  29 --- ---  65 240  70 136 1.032  28 2124
06:13:56 1.3e-08   12 90030   19   5  29 --- ---  65 240  70 137 1.032  28 2124
06:24:00 1.3e-08   12 90029   19   5  29 --- ---  65 240  70 137 1.032  28 2124
06:34:05 1.3e-08   12 90030   19   5  29 --- ---  65 240  70 138 1.032  28 2124
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
06:44:09 1.3e-08   12 90030   19   5  29 --- ---  65 240  70 137 1.032  28 2124
06:54:13 1.3e-08   12 90029   19   5  29 --- ---  65 240  70 138 1.032  28 2124
07:04:17 1.2e-08   12 90029   19   5  29 --- ---  65 240  70 137 1.032  28 2124
07:14:21 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  28 2128
07:24:25 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  28 2128
07:34:29 1.3e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  28 2128
07:44:33 1.2e-08   12 90030   19   5  29 --- ---  65 240  70 138 1.032  28 2124
07:54:37 1.2e-08   12 90029   19   5  30 --- ---  65 240  70 138 1.032  29 2143
08:04:41 1.3e-08   12 90029   19   6  29 --- ---  65 240  70 137 1.031  30 2203
08:14:44 1.3e-08   12 90030   19   6  29 --- ---  65 240  70 138 1.032  29 2202
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
08:24:48 1.3e-08   12 90030   19   6  29 --- ---  65 240  70 139 1.032  30 2203
08:34:53 1.3e-08   12 90030   19   6  30 --- ---  65 240  70 140 1.032  30 2200
08:44:57 1.4e-08   12 90030   19   6  30 --- ---  65 240  70 140 1.032  30 2206
08:55:00 1.4e-08   12 90029   19   6  30 --- ---  65 240  70 141 1.032  30 2206
09:05:04 1.5e-08   12 90029   19   6  30 --- ---  65 240  70 140 1.032  30 2200
09:15:08 1.5e-08   12 90029   19   6  30 --- ---  65 240  70 143 1.031  30 2208
09:25:12 1.5e-08   12 90030   19   6  31 --- ---  65 240  70 142 1.032  30 2211
09:35:15 1.6e-08   12 90029   20   6  31 --- ---  65 240  70 143 1.032  30 2208
09:45:19 1.6e-08   12 90029   20   6  31 --- ---  65 240  70 144 1.031  31 2323
09:55:23 1.6e-08   12 90030   20   6  31 --- ---  65 240  70 145 1.031  30 2262
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
10:05:27 1.7e-08   12 90030   20   6  31 --- ---  65 240  70 144 1.031  30 2272
10:15:31 1.7e-08   12 90030   20   6  31 --- ---  65 240  70 145 1.031  31 2266
10:25:35 ------- ----    12 9003  20   7  31 --- --- ---  65 --- 1.031  31 2346
10:35:44 1.7e-08   12 90029   20   7  31 --- ---  65 240  70 144 1.032  31 2323
10:45:47 1.7e-08   12 90029   20   6  31 --- ---  65 240  70 144 1.031  30 2267
10:55:51 1.7e-08   12 90029   20   6  31 --- ---  65 240  70 144 1.032  30 2262
11:05:55 1.7e-08   12 90029   20   6  31 --- ---  65 240  70 145 1.031  30 2269
11:15:59 1.7e-08   12 90030   20   6  31 --- ---  65 240  70 146 1.031  30 2259
11:26:03 1.7e-08   12 90030   20   6  31 --- ---  65 240  70 144 1.031  31 2281
11:36:07 1.7e-08   12 90030   20   7  31 --- ---  65 240  70 146 1.031  32 2362
           Vac   ----Vac Drv---- ---Temp TC7x--- ------Cryo----- Diode ---Fan--
  Time    Guage  p316  p398 p346  A0  A1  A2  A3  TC Max Min Cur  (V)  PWM  RPM
11:46:10 1.7e-08   12 90030   20   7  31 --- ---  65 240  70 147 1.031  32 2346
11:56:14 1.8e-08   12 90030   20   7  31 --- ---  65 240  70 146 1.031  32 2339
12:06:18 1.7e-08   12 90030   20   7  31 --- ---  65 240  70 145 1.031  32 2363
12:16:22 1.7e-08   12 90029   20   7  31 --- ---  65 240  70 146 1.032  32 2358
12:26:25 1.7e-08   12 90029   20   7  31 --- ---  65 240  70 145 1.032  32 2367
12:36:29 1.7e-08   12 90029   20   7  31 --- ---  65 240  70 145 1.031  32 2358
12:46:33 1.8e-08   12 90029   20   7  31 --- ---  65 240  70 146 1.032  32 2365
12:56:37 1.8e-08   12 90029   20   7  31 --- ---  65 240  70 147 1.031  32 2365
13:06:41 1.8e-08   12 90029   20   7  31 --- ---  65 240  70 147 1.031  32 2369
13:16:44 1.8e-08   12 90029   20   7  31 --- ---  65 240  70 147 1.031  32 2369
